date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:14	184/184	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/robots.txt		(from )
09:16:14	24923/24923	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Sep%202021%2003:46:11%20GMT	https://linuxjourney.com/	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/index.html	(from )
09:16:16	385329/385329	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/application-8013fdc35e4c79f95bcb3d655ff61f137ac05bcee52e6d96588427a84eddef12.js	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/application-8013fdc35e4c79f95bcb3d655ff61f137ac05bcee52e6d96588427a84eddef12.js	(from https://linuxjourney.com/)
09:16:16	317038/317038	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/application-b0b91461d093aa2ed95d8a7467856e4dc16f55744d3c17a927c3598e5b26cd3f.css	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/application-b0b91461d093aa2ed95d8a7467856e4dc16f55744d3c17a927c3598e5b26cd3f.css	(from https://linuxjourney.com/)
09:16:17	894/894	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/favicon-e8bea7a0071e296638a3a1a08be81f0a30b9c945625e5a200fefecd8d9b2ed6c.ico	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/favicon-e8bea7a0071e296638a3a1a08be81f0a30b9c945625e5a200fefecd8d9b2ed6c.ico	(from https://linuxjourney.com/)
09:16:17	3022/3022	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/United_States_of_America-998fb392be75a6bf1d89eb60693ecb40e0e883596f16f02f76a8d2f718a2de7a.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/United_States_of_America-998fb392be75a6bf1d89eb60693ecb40e0e883596f16f02f76a8d2f718a2de7a.png	(from https://linuxjourney.com/)
09:16:18	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:15%20GMT	https://linuxjourney.com/change_locale/en	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/en	(from https://linuxjourney.com/)
09:16:19	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:16%20GMT	https://linuxjourney.com/change_locale/fr	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/fr	(from https://linuxjourney.com/)
09:16:19	2826/2826	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/flags/France-8ecaabdf7505b39d2a9e890935a76f55107872acb90271b6d9db4c2a7dcc3a10.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/France-8ecaabdf7505b39d2a9e890935a76f55107872acb90271b6d9db4c2a7dcc3a10.png	(from https://linuxjourney.com/)
09:16:20	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:17%20GMT	https://linuxjourney.com/change_locale/de	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/de	(from https://linuxjourney.com/)
09:16:21	2857/2857	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/flags/Germany-2894e79a5053887a7292215db0bc261ee45629334160c5fc1c3ef4cc8b91e70e.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Germany-2894e79a5053887a7292215db0bc261ee45629334160c5fc1c3ef4cc8b91e70e.png	(from https://linuxjourney.com/)
09:16:22	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:19%20GMT	https://linuxjourney.com/change_locale/el	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/el	(from https://linuxjourney.com/)
09:16:23	3046/3046	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:07%20GMT	https://linuxjourney.com/assets/flags/Greece-4d2c1b371d6dc4e3c831419ee52ac980e556ed7119737995ddbf320717065b20.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Greece-4d2c1b371d6dc4e3c831419ee52ac980e556ed7119737995ddbf320717065b20.png	(from https://linuxjourney.com/)
09:16:24	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:21%20GMT	https://linuxjourney.com/change_locale/he	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/he	(from https://linuxjourney.com/)
09:16:25	3016/3016	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/Israel-ba517d486904b8a31a4009fec1ae3b99bf4921adb0e809797f775c2dfc455186.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Israel-ba517d486904b8a31a4009fec1ae3b99bf4921adb0e809797f775c2dfc455186.png	(from https://linuxjourney.com/)
09:16:25	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:22%20GMT	https://linuxjourney.com/change_locale/it	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/it	(from https://linuxjourney.com/)
09:16:26	2825/2825	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/Italy-3ce665f4a9c41759a1cf56f75af3e61429222b6869837c2f2f38dc8681a8481a.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Italy-3ce665f4a9c41759a1cf56f75af3e61429222b6869837c2f2f38dc8681a8481a.png	(from https://linuxjourney.com/)
09:16:26	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:23%20GMT	https://linuxjourney.com/change_locale/ja	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/ja	(from https://linuxjourney.com/)
09:16:26	2999/2999	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/Japan-8217a50b2b40ff83aaeda08d1152153a577d9ad1c03bc90e66bf3c9dc9566edc.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Japan-8217a50b2b40ff83aaeda08d1152153a577d9ad1c03bc90e66bf3c9dc9566edc.png	(from https://linuxjourney.com/)
09:16:27	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:24%20GMT	https://linuxjourney.com/change_locale/ko	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/ko	(from https://linuxjourney.com/)
09:16:27	3246/3246	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/South_Korea-a8cec588b886018d1d45fba84f15191e5e3ad563cdd5919b264e47c1680a80a1.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/South_Korea-a8cec588b886018d1d45fba84f15191e5e3ad563cdd5919b264e47c1680a80a1.png	(from https://linuxjourney.com/)
09:16:27	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:24%20GMT	https://linuxjourney.com/change_locale/mk	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/mk	(from https://linuxjourney.com/)
09:16:28	3319/3319	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/Macedonia-1a40249014d7e74ed18cdb3babd9ef858e7fafafcfe669ca9a7c10566fb24c5b.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Macedonia-1a40249014d7e74ed18cdb3babd9ef858e7fafafcfe669ca9a7c10566fb24c5b.png	(from https://linuxjourney.com/)
09:16:29	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:25%20GMT	https://linuxjourney.com/change_locale/fa	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/fa	(from https://linuxjourney.com/)
09:16:30	3013/3013	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jan%202017%2023:17:08%20GMT	https://linuxjourney.com/assets/flags/Iran-386c49847194474b095c6f55aa780e602593e2b593a7a8bcdad2a0566f1ca825.png	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/assets/flags/Iran-386c49847194474b095c6f55aa780e602593e2b593a7a8bcdad2a0566f1ca825.png	(from https://linuxjourney.com/)
09:16:31	91/91	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Sep%202021%2003:46:27%20GMT	https://linuxjourney.com/change_locale/pt-BR	C:/Users/PLR/Documents/My%20Web%20Clones/Linux%20Journey%20Web%20Clone/linuxjourney.com/change_locale/pt-BR	(from https://linuxjourney.com/)
